"","record","uuid","date","markers","status","D1","D2","H1","H2","vlist","qtime","vos","vosr15oe","vbrowser","vbrowserr15oe","vmobiledevice","vmobileos","start_date","testing","decLang","list","userAgent","dcua","session","source","url","HidQTest","QRACE","QRACEr5oe","S2","H3","H3A","R1","D103","H5","D109","D110","H4","T1","H1A","H5A","Z1","D111","D107","AGE2","EDU2","nweight","Q1","Q2","Q3","Q4","Q5","F1r1","F1r2","F1r3","F1r4","F1r5","F1r6","Q6","Q7r1","Q7r2","Q7r3","Q7r4","Q8","Q8r10oe","Q9","Q10","Q11r1","Q11r2","Q11r3","Q11r4","Q11r5","Q12","Q12X","Q13","Q14r1","Q14r2","Q14r3","Q14r4","Q14r5","Q14r6","Q14r7","Q14r8","Q15","Q16r1","Q16r2","Q16r3","Q16r4","Q16r5","Q16r6","Q16r7","Q16r8","Q17","Q17X","Q18r1","Q18r2","Q18r3","Q18r4","Q18r5","Q18r6","Q19","Q20r1","Q20r2","Q20r3","Q20r4","Q20r5","Q21r1","Q21r2","Q21r3","Q21r4","Q22","Q23","Q24r1","Q24r2","D101","conditionsmarker_Q18B","conditionsmarker_Q18A","PID"
"1",124,"tnp71b1d7dw9d47f","11/13/2018 15:44","/TOTAL/CINT,/Gender/xJAGz,/Age/xZE0a,/GenderAge/aMoPc,/Race/FIYZ",3,2,48,2,3,1,471.79,3,"",10,"",5,6,"11/13/2018 15:37","","","114","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36","..","bswkr8zduzv5nd37","","/survey/selfserve/53d/181153?state=a94941b0966bd1731644808a132be3234032ce38Q0003J4E00000436",3,1,"",50,3,2,1,6,3,3,5,1,4,6,2,"53207",3,2,3,4,0.01,1,1,1,1,1,5,5,1,5,2,1,1,1,1,1,1,1,"",1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,1,2,2,NA,2,2,2,1,4,1,1,1,1,1,1,1,1,1,4,1,4,1,1,0,1,"74c05c62-7f92-42ea-f79b-6aeb74896bbb"
"2",107,"d81kxt7qxc83k514","11/13/2018 15:48","/TOTAL/CINT,/Gender/xJAGz,/Age/xZE0a,/GenderAge/aMoPc,/Race/FIYZ",3,2,43,2,3,1,800.27,12,"",11,"",1,1,"11/13/2018 15:35","","","114","Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1","si","t3wq26462qrbzc3q","","/survey/selfserve/53d/181153?state=fe1af0850ef7f0c98de430fc2e5d2697b55bb862Q00039XP0000048e",3,1,"",33,2,1,1,6,3,12,2,2,4,6,7,"11379",3,2,2,4,0.01,3,2,2,2,3,3,5,2,6,2,3,3,2,2,3,3,7,"",3,2,1,1,2,1,2,1,3,6,1,1,1,1,1,1,1,1,4,2,1,3,3,1,2,2,1,1,1,1,NA,2,1,2,1,2,3,3,3,3,3,3,3,3,3,2,2,1,3,2,0,1,"1897a4de-4a45-bc49-a027-92bce356a20e"
"3",227,"pd3h87n3wfd6bftn","11/13/2018 15:51","/TOTAL/CINT,/Gender/xJAGz,/Age/ySjbx,/GenderAge/YZ8P3,/Race/FIYZ",3,2,28,1,2,1,588.98,5,"",10,"",5,6,"11/13/2018 15:42","","","114","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36","..","mzwcrdejdph401n7","","/survey/selfserve/53d/181153?state=9e9aabd68c92d59b87acc392b9c7b8b9ec394c16Q00081JB00000431",3,1,"",19,7,3,1,4,2,3,1,2,4,5,2,"70764",1,1,1,3,0.01,5,2,5,3,2,4,2,2,2,3,4,4,4,4,4,4,4,"",4,1,1,2,2,2,1,1,3,3,1,1,1,1,1,1,1,1,4,4,4,1,4,1,1,1,1,1,1,NA,1,1,1,1,2,1,4,4,4,4,4,4,4,4,4,1,2,1,4,1,1,0,"4ee7186d-35f3-f834-d094-2ecca7ebe1b5"
"4",225,"g9nz7wmehuj42371","11/13/2018 15:52","/TOTAL/CINT,/Gender/xJAGz,/Age/G6sOE,/GenderAge/oBHBm,/Race/FIYZ",3,2,50,3,3,1,624.44,14,"",10,"",3,2,"11/13/2018 15:42","","","114","Mozilla/5.0 (Linux; Android 4.4.2; SM-T230NU Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Safari/537.36","ta","2ddhb8wr1q0rnu0y","","/survey/selfserve/53d/181153?state=7da4e977a20f274e12ea324bc97f86d6b83ee9c2Q000925600000455",3,1,"",34,5,3,1,6,3,1,1,2,4,7,1,"27409",1,1,3,4,0.01,5,3,2,1,2,4,4,1,4,1,4,4,4,4,4,4,3,"",4,1,1,1,4,1,1,1,3,3,1,1,1,1,1,1,1,1,4,4,4,1,4,1,1,1,1,1,1,2,NA,2,1,1,1,1,4,4,4,4,4,4,4,4,4,1,5,1,4,4,0,1,"23e06781-2f94-87f0-d778-51cbb28cfb50"
"5",309,"179j5krzu263vv4x","11/13/2018 15:53","/TOTAL/CINT,/Gender/xJAGz,/Age/ySjbx,/GenderAge/YZ8P3,/Race/FIYZ",3,2,23,1,2,1,442.94,5,"",10,"",5,6,"11/13/2018 15:46","","","114","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36","..","5w4q0v257p2j0rw3","","/survey/selfserve/53d/181153?state=bc974a1e2522eb8d3838b88beca7dfc642b12fb6Q000EV0H000003f5",3,1,"",22,1,1,1,6,3,2,1,2,4,5,2,"02115",1,1,1,4,0.01,5,3,2,2,2,4,4,4,3,3,4,4,4,4,4,4,7,"",4,2,1,1,1,1,2,2,NA,4,1,1,1,1,1,1,1,1,4,4,4,1,4,1,1,1,1,4,4,NA,1,2,1,1,1,1,3,4,3,4,4,4,4,4,4,1,2,1,4,2,1,0,"af1c364f-f96a-d335-2bb6-0037b97b629f"
"6",366,"4aj3hvdwyzv86qam","11/13/2018 15:54","/TOTAL/CINT,/Gender/yaxdo,/Age/ySjbx,/GenderAge/k73Ap,/Race/FIYZ",3,1,28,1,2,1,456.21,3,"",10,"",5,6,"11/13/2018 15:47","","","114","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36","..","68nna5eadht8nb90","","/survey/selfserve/53d/181153?state=2ce7a67f01fdefbea70a1486ae1753658975b2f6Q000FHDK0000045c",3,1,"",25,6,3,1,6,3,3,5,1,4,1,2,"39120",4,1,1,4,0.01,2,3,4,3,3,4,3,2,4,4,1,1,1,1,1,1,1,"",2,4,3,3,4,2,4,1,1,3,3,3,2,3,2,2,2,3,3,1,2,4,4,3,3,3,4,4,4,NA,2,2,1,2,1,4,1,1,2,1,1,1,1,1,1,4,5,5,1,3,1,0,"9584c43f-db44-21f7-b3c6-f2afed5d0fef"
"7",393,"etsbhtvdfn7x7qr1","11/13/2018 15:55","/TOTAL/CINT,/Gender/xJAGz,/Age/xZE0a,/GenderAge/aMoPc,/Race/FIYZ",3,2,45,2,3,1,508.31,4,"",10,"",5,6,"11/13/2018 15:47","","","114","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36","..","a3gq0c28bgv4nkye","","/survey/selfserve/53d/181153?state=35cf2b8f99289c86d10e19090260efee59e5be3fQ000GPIJ0000045f",3,1,"",5,9,4,1,6,3,3,1,2,4,6,2,"92120",1,2,3,4,0.01,5,3,2,5,3,4,4,3,4,3,4,4,4,4,4,4,3,"",4,2,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,4,2,2,5,5,1,2,2,2,1,1,NA,1,2,1,1,1,5,3,3,3,5,3,4,4,4,3,2,1,1,4,2,1,0,"6975e09f-694f-0a4c-4266-d65e3659814f"
"8",467,"t7zba7w9ugu4yfv5","11/13/2018 15:56","/TOTAL/CINT,/Gender/yaxdo,/Age/ySjbx,/GenderAge/k73Ap,/Race/FIYZ",3,1,19,1,1,1,489.33,12,"",11,"",1,1,"11/13/2018 15:48","","","114","Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1","si","e3973jq35n7d2792","","/survey/selfserve/53d/181153?state=4a515fd4c4c07aa43dba0bc363c176cf2f6839ebQ000JB4R0000044e",3,1,"",10,5,3,1,4,2,1,4,1,4,1,1,"34292",4,2,1,3,0.01,2,2,2,3,2,1,3,3,2,2,1,3,3,2,2,3,2,"",2,3,1,1,2,2,2,1,3,6,2,2,2,2,2,2,2,2,3,2,3,3,2,2,4,2,2,2,1,NA,1,1,1,2,1,3,2,1,3,1,1,2,2,5,2,3,3,2,1,8,1,0,"9666fbfe-82d5-1028-5107-cd4df4bd1b2e"
"9",620,"j047fwe9x4y2txh5","11/13/2018 15:56","/TOTAL/CINT,/Gender/xJAGz,/Age/xZE0a,/GenderAge/aMoPc,/Race/FIYZ",3,2,39,2,3,1,376.98,12,"",11,"",1,1,"11/13/2018 15:50","","","114","Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1","si","c59dwvu8mhebp94z","","/survey/selfserve/53d/181153?state=ab83b57b95a8d3c3d63929330400bcc6e35ae76dQ000RXLP0000044c",3,1,"",1,6,3,1,4,2,3,5,1,4,6,2,"35044",4,1,2,3,0.01,1,2,4,1,2,1,2,4,1,4,1,1,1,1,1,1,1,"",2,4,1,1,2,2,3,1,2,2,2,2,2,2,2,2,2,2,3,1,1,4,5,2,3,2,4,2,4,1,NA,1,2,2,1,4,1,1,1,1,2,1,1,1,5,4,5,5,5,1,0,1,"8df0010f-b1c2-ef8b-c7f6-37db89e061df"
"10",486,"cyq675nfyvpu8x3p","11/13/2018 15:56","/TOTAL/CINT,/Gender/xJAGz,/Age/xZE0a,/GenderAge/aMoPc,/Race/FIYZ",3,2,47,2,3,1,512.9,5,"",12,"",5,6,"11/13/2018 15:48","","","114","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0","..","b3sj46yvcsc3032g","","/survey/selfserve/53d/181153?state=0f18352fba65edf4b49b2a9b04bb281cd7060a5dQ000JMVK0000040e",3,1,"",18,6,3,1,6,3,2,4,1,4,6,2,"41015",4,1,3,4,0.01,2,2,2,3,3,1,1,3,2,3,3,3,2,3,3,3,1,"",2,3,1,1,2,1,1,1,1,3,4,3,1,3,4,4,4,2,4,2,2,2,3,2,2,1,2,2,3,NA,1,2,2,1,1,6,2,3,5,5,5,5,5,5,2,2,2,5,5,6,1,0,"00c5e5b2-cd7f-0df2-f24b-d3eec06f1d63"
